"movie_id","primaryTitle","originalTitle","genre","runtimeMinutes","releaseYear","language","averageRating"
8208372,"Game Paisa Ladki","Game Paisa Ladki","Drama",107,2018,"en",6
8209632,"Nice to Meet You","Yu jian ni zhen hao","Drama",99,2018,"en",5
8209632,"Nice to Meet You","Yu jian ni zhen hao","Romance",99,2018,"en",5
8211214,"Back of the Net","Back of the Net","Family",98,2019,"en",5
8211258,"Operation C.H.I.M.P","Chop Chop Chang: Operation C.H.I.M.P","Comedy",101,2019,"en",6
8212958,"Fire Will Come","O que arde","Drama",86,2019,"en",7
8212958,"Fire Will Come","O que arde","Crime",86,2019,"en",7
8214204,"One Role for Two","Ni une ni deux","Comedy",98,2019,"en",6
8214936,"Love Trilogy: Chained","Love Trilogy: Chained","Drama",112,2019,"en",7
8214962,"Love Trilogy: Reborn","Love Trilogy: Reborn","Drama",108,2019,"en",7
8215480,"Greatland","Greatland","Fantasy",104,2020,"en",4
8215480,"Greatland","Greatland","Sci",104,2020,"en",4
8215480,"Greatland","Greatland","Fi",104,2020,"en",4
8218662,"Shadowplay","Shadowplay","Thriller",90,2019,"en",5
8218662,"Shadowplay","Shadowplay","Fantasy",90,2019,"en",5
8218662,"Shadowplay","Shadowplay","Mystery",90,2019,"en",5
8218940,"Hillbilly","Hillbilly","Documentary",87,2018,"en",7
8220706,"Daana Paani","Daana Paani","Family",105,2018,"en",8
8221676,"Vadhayiyaan Ji Vadhayiyaan","Vadhayiyaan Ji Vadhayiyaan","Comedy",122,2018,"en",7
8221842,"Tench","Muidhond","Drama",99,2019,"en",7
8222342,"Let Me Introduce You to Sofia","Ti presento Sofia","Comedy",98,2018,"en",6
8222346,"Banging Lanie","Banging Lanie","Comedy",76,2020,"en",5
8222408,"Magical Nights","Notti magiche","Drama",125,2018,"en",6
8222408,"Magical Nights","Notti magiche","Comedy",125,2018,"en",6
8222408,"Magical Nights","Notti magiche","Mystery",125,2018,"en",6
8223170,"Fire and Rain","Fire and Rain","Drama",98,2019,"en",6
8223844,"Modest Heroes","Chiisana eiyû: Kani to tamago to tômei ningen","Adventure",53,2018,"en",7
8223844,"Modest Heroes","Chiisana eiyû: Kani to tamago to tômei ningen","Animation",53,2018,"en",7
8223844,"Modest Heroes","Chiisana eiyû: Kani to tamago to tômei ningen","Family",53,2018,"en",7
8226508,"Kottayam","Kottayam","Drama",100,2020,"en",7
8226508,"Kottayam","Kottayam","Crime",100,2020,"en",7
8226508,"Kottayam","Kottayam","Romance",100,2020,"en",7
8226802,"Restaurant from the Sky","Sora no resutoran","Family",126,2019,"en",6
8226904,"Yakiniku Dragon","Yakiniku Doragon","Drama",126,2018,"en",6
8226904,"Yakiniku Dragon","Yakiniku Doragon","Family",126,2018,"en",6
8228172,"The Furies","The Furies","Horror",82,2019,"en",5
8228172,"The Furies","The Furies","Thriller",82,2019,"en",5
8228172,"The Furies","The Furies","Action",82,2019,"en",5
8228288,"The Platform","El hoyo","Horror",94,2019,"en",7
8228288,"The Platform","El hoyo","Thriller",94,2019,"en",7
8228288,"The Platform","El hoyo","Sci",94,2019,"en",7
8228288,"The Platform","El hoyo","Fi",94,2019,"en",7
8228290,"The Faceless Man","The Faceless Man","Horror",106,2019,"en",4
8228538,"Papi Chulo","Papi Chulo","Drama",98,2018,"en",7
8228538,"Papi Chulo","Papi Chulo","Comedy",98,2018,"en",7
8228588,"Love Only","Yu zhou you ai lang man tong you","Comedy",92,2018,"en",7
8228588,"Love Only","Yu zhou you ai lang man tong you","Music",92,2018,"en",7
8228588,"Love Only","Yu zhou you ai lang man tong you","Fantasy",92,2018,"en",7
8228700,"All About Mothers","La fête des mères","Drama",101,2018,"en",5
8228700,"All About Mothers","La fête des mères","Comedy",101,2018,"en",5
8228884,"I Got the Hook Up 2","I Got the Hook Up 2","Comedy",107,2019,"en",3
8228906,"Little Nights, Little Love","Eine Kleine Nachtmusik","Drama",119,2019,"en",6
8228906,"Little Nights, Little Love","Eine Kleine Nachtmusik","Romance",119,2019,"en",6
8230080,"The Voice","Glas","Drama",80,2019,"en",5
8230872,"The Body Remembers When the World Broke Open","The Body Remembers When the World Broke Open","Drama",105,2019,"en",7
8231202,"This Is the Year","This is the Year","Drama",97,2020,"en",8
